e, e_dot, e_int, stamp, 
[-2.35621182], [-4.63339948e-05], [-0.21130743], 1731707909739039417, 
[-2.35621883], [-4.75221988e-05], [-0.14149416], 1731707909769122364, 
[-2.35510071], [0.00370369], [-0.1436673], 1731707909800022789, 
[-2.34563854], [0.03526761], [-0.21126456], 1731707909858933535, 
[-2.32552927], [0.09857148], [-0.34581027], 1731707909947673113, 
[-2.29952717], [0.15370458], [-0.4946626], 1731707910071823038, 
[-2.29952717], [0.08667365], [-0.28656218], 1731707910071823038, 
[-2.25846509], [0.1368736], [-0.1978954], 1731707910158397522, 
[-2.1980494], [0.33825923], [-0.47047168], 1731707910280734576, 
[-2.13003019], [0.42811635], [-0.46043561], 1731707910368113982, 
[-2.0594812], [0.461894], [-0.37747758], 1731707910458021772, 
[-1.98751342], [0.47505587], [-0.43225005], 1731707910578045167, 
[-1.91511077], [0.48123478], [-0.41694222], 1731707910667817906, 
[-1.84502108], [0.47497448], [-0.34926612], 1731707910760345625, 
[-1.77971551], [0.45131753], [-0.38713371], 1731707910877462877, 
[-1.72129361], [0.41242491], [-0.37031489], 1731707910968153033, 
[-1.66933947], [0.36792013], [-0.30980676], 1731707911057222572, 
[-1.62455295], [0.32246888], [-0.34930076], 1731707911177098876, 
[-1.57712585], [0.30737872], [-0.34091296], 1731707911267186656, 
[-1.53549358], [0.29686454], [-0.28409092], 1731707911357010584, 
[-1.4999072], [0.25739552], [-0.27845823], 1731707911448296652, 
[-1.46529223], [0.23400451], [-0.30255696], 1731707911558684166, 
[-1.43079234], [0.23038285], [-0.30564518], 1731707911656881108, 
[-1.39678116], [0.22837025], [-0.31216071], 1731707911776832643, 
[-1.36293969], [0.2261755], [-0.29305751], 1731707911866681789, 
[-1.33209562], [0.21561844], [-0.24450633], 1731707911956097524, 
[-1.30357516], [0.19788178], [-0.27898316], 1731707912075991873, 
[-1.27617856], [0.1863902], [-0.27649334], 1731707912168140462, 
[-1.24907107], [0.18168029], [-0.22921902], 1731707912255591905, 
[-1.22304195], [0.17712205], [-0.2602149], 1731707912376407263, 
[-1.200008], [0.16354356], [-0.2567636], 1731707912465359172, 
[-1.17754978], [0.15164057], [-0.21456369], 1731707912555180554, 
[-1.15524131], [0.14922231], [-0.21468237], 1731707912647664221, 
[-1.13324678], [0.14767667], [-0.24232065], 1731707912764919164, 
[-1.1105246], [0.14905569], [-0.23728074], 1731707912857090393, 
[-1.09008937], [0.14385804], [-0.23301245], 1731707912974597192, 
[-1.07153289], [0.12997238], [-0.22628772], 1731707913064557593, 
[-1.05119827], [0.12963699], [-0.19259614], 1731707913154435565, 
[-1.03196541], [0.1318916], [-0.22046312], 1731707913274209884, 
[-1.0154137], [0.1192819], [-0.21659227], 1731707913364137224, 
[-0.99753983], [0.11475193], [-0.18244144], 1731707913453959926, 
[-0.97750818], [0.12635174], [-0.21162164], 1731707913576433847, 
[-0.95746281], [0.13359006], [-0.20401091], 1731707913662665970, 
[-0.93824213], [0.13088682], [-0.16963399], 1731707913753553313, 
[-0.92037949], [0.12361105], [-0.19778764], 1731707913873370912, 
[-0.90434715], [0.11298328], [-0.19315004], 1731707913963273420, 
[-0.88968448], [0.10231671], [-0.16493783], 1731707914055662195, 
[-0.8770059], [0.09113751], [-0.18671219], 1731707914172980910, 
[-0.86369004], [0.08664812], [-0.18311953], 1731707914264513575, 
[-0.85050965], [0.08832081], [-0.15530267], 1731707914352784474, 
[-0.83456463], [0.09708471], [-0.17680269], 1731707914472617585, 
[-0.81687351], [0.11212049], [-0.17487953], 1731707914562476538, 
[-0.80143958], [0.11041684], [-0.14696076], 1731707914652358412, 
[-0.78612081], [0.10250899], [-0.16811859], 1731707914772237255, 
[-0.77130706], [0.10044173], [-0.16489538], 1731707914862071828, 
[-0.75608477], [0.10012013], [-0.13923685], 1731707914952789776, 
[-0.74112699], [0.10060022], [-0.15871365], 1731707915071962504, 
[-0.72687953], [0.09735081], [-0.15482848], 1731707915161632572, 
[-0.71190681], [0.09740059], [-0.15225037], 1731707915281489696, 
[-0.69705147], [0.09942686], [-0.14974259], 1731707915371961175, 
[-0.68236114], [0.09848558], [-0.1278631], 1731707915464909450, 
[-0.66790503], [0.09715479], [-0.12224495], 1731707915551090610, 
[-0.65358355], [0.09592531], [-0.13809797], 1731707915671658438, 
[-0.64195209], [0.0865098], [-0.13727514], 1731707915760837423, 
[-0.62693329], [0.08883419], [-0.1141371], 1731707915849768618, 
[-0.60905785], [0.10964746], [-0.13129695], 1731707915970583297, 
[-0.5891912], [0.12580698], [-0.12815995], 1731707916060421465, 
[-0.56749784], [0.13853339], [-0.12346068], 1731707916180342717, 
[-0.54552339], [0.14555935], [-0.1190135], 1731707916270172315, 
[-0.52105075], [0.15482361], [-0.09846953], 1731707916361123358, 
[-0.49516922], [0.16784725], [-0.09357608], 1731707916449925434, 
[-0.46890691], [0.1738128], [-0.08843349], 1731707916539761606, 
[-0.44183915], [0.1777669], [-0.09783089], 1731707916658681028, 
[-0.41238287], [0.18841347], [-0.10571843], 1731707916779462582, 
[-0.38453036], [0.19102929], [-0.08842758], 1731707916872834194, 
[-0.35895635], [0.17808842], [-0.06665762], 1731707916952469015, 
[-0.33584302], [0.16229113], [-0.06342595], 1731707917049126812, 
[-0.31542577], [0.1451019], [-0.07288555], 1731707917168912508, 
[-0.29722736], [0.12871888], [-0.06597349], 1731707917257794467, 
[-0.28064431], [0.11593822], [-0.05428722], 1731707917351227648, 
[-0.26465154], [0.10858605], [-0.05372755], 1731707917449103907, 
[-0.25018621], [0.10152699], [-0.05228783], 1731707917548420652, 
[-0.23681336], [0.09279395], [-0.05493423], 1731707917668358139, 
[-0.22532404], [0.0828739], [-0.04980342], 1731707917758171201, 
[-0.2144128], [0.07466851], [-0.04068139], 1731707917848750022, 
[-0.20420502], [0.07039673], [-0.04500694], 1731707917967849801, 
[-0.19522346], [0.06396449], [-0.0428204], 1731707918058024304, 
[-0.18679497], [0.05803351], [-0.03707486], 1731707918157580482, 
[-0.17845593], [0.05589177], [-0.04165778], 1731707918281002121, 
[-0.17018009], [0.05538293], [-0.03745638], 1731707918367447197, 
[-0.16301045], [0.05148492], [-0.03008426], 1731707918457398873, 
[-0.15732841], [0.04283894], [-0.03429971], 1731707918577223274, 
[-0.15193721], [0.03691081], [-0.03303524], 1731707918667245898, 
[-0.14627954], [0.03682957], [-0.02765176], 1731707918759324357, 
[-0.14040837], [0.03842947], [-0.03068681], 1731707918877129983, 
[-0.1351259], [0.03717881], [-0.02942546], 1731707918968602411, 
[-0.13043654], [0.03323942], [-0.02424965], 1731707919056327485, 
[-0.12693914], [0.0272892], [-0.02727387], 1731707919177064310, 
[-0.12261311], [0.02607811], [-0.0265686], 1731707919266085798, 
[-0.11840045], [0.02846228], [-0.02181112], 1731707919354895216, 
[-0.11331031], [0.03100932], [-0.02476978], 1731707919475807324, 
[-0.108345], [0.03351819], [-0.02390836], 1731707919565816725, 
[-0.10502722], [0.02761032], [-0.01972915], 1731707919656984616, 
[-0.10078324], [0.02520587], [-0.02194757], 1731707919775403110, 
[-0.09700771], [0.02673169], [-0.02102976], 1731707919865325050, 
[-0.09272372], [0.02686506], [-0.01741413], 1731707919955230145, 
[-0.08731455], [0.03231054], [-0.01936216], 1731707920074988760, 
